horizon,seed,stratum,n,fraction,peak_day_position,recent_7_share,oldest_7_share,mean_sample_entropy,entropy_of_mean_profile
1,42,all,141263,1.0,1,0.6092166900634766,0.13180342316627502,2.4336135387420654,2.4661154747009277
1,42,wet_ge_1mm,42848,0.30332075631977234,1,0.6395711898803711,0.12743628025054932,2.2887086868286133,2.3374714851379395
1,42,dry_lt_1mm,98415,0.6966792436802277,1,0.5959968566894531,0.13370470702648163,2.4967024326324463,2.5196194648742676
1,42,monsoon_JJAS,38490,0.2724704982904228,1,0.6779488325119019,0.11701275408267975,2.148125410079956,2.1869001388549805
1,42,non_monsoon,102773,0.7275295017095772,1,0.5834716558456421,0.1373431384563446,2.5405333042144775,2.5620477199554443
1,42,high_error_q90,14127,0.10000495529614974,1,0.6102365255355835,0.13906234502792358,2.373249053955078,2.439279794692993
1,42,low_error_below_q90,127136,0.8999950447038503,1,0.6091012954711914,0.13099665939807892,2.4403209686279297,2.468902349472046
