# Phase 6 — IMD-tier extreme rainfall evaluation (primary tier scheme).
# Boundaries: IMD daily scale (see src/imd_tiers.py / dashboard/lib/imd_rainfall.py).
# Merge rule: tiers with < 100 test samples merged per horizon (see merge log below).
# Mean_Error_Bias = mean(predicted - actual) mm/day (continuous; NOT contingency frequency bias).
# GNN-LSTM excluded (graph inference path not shared with flat eval scripts).
# Secondary cross-check: extreme_rainfall_evaluation.csv (95th-percentile split; different framing).
# h=1 merges: none (all raw IMD tiers n >= 100)
# h=2 merges: none (all raw IMD tiers n >= 100)
# h=3 merges: none (all raw IMD tiers n >= 100)
# h=4 merges: none (all raw IMD tiers n >= 100)
Model,Horizon,Tier,Seed,N_samples,RMSE,MAE,Mean_Error_Bias,Source_Tiers
CNN-LSTM+Attention,2,No Rain,mean ± std,84068,2.7947 ± 0.1070,1.6724 ± 0.1788,1.2960 ± 0.7925,No Rain
CNN-LSTM+Attention,2,Very Heavy,mean ± std,819,68.5509 ± 0.3513,65.4926 ± 0.4629,-65.4466 ± 0.4701,Very Heavy
CNN-LSTM+Attention,3,Extremely Heavy,mean ± std,170,162.3711 ± 2.7504,151.8477 ± 3.2651,-151.8477 ± 3.2651,Extremely Heavy
CNN-LSTM+Attention,3,Heavy,mean ± std,2271,35.7436 ± 1.6563,33.7751 ± 1.8937,-33.5869 ± 1.9908,Heavy
CNN-LSTM+Attention,3,Light,mean ± std,36190,5.4776 ± 1.0409,3.8159 ± 0.8258,2.7794 ± 1.2954,Light
CNN-LSTM+Attention,3,Moderate,mean ± std,16909,11.7288 ± 0.7988,9.3996 ± 0.8375,-7.4892 ± 1.6096,Moderate
CNN-LSTM+Attention,3,No Rain,mean ± std,83918,2.6146 ± 0.5522,1.5964 ± 0.4617,1.2259 ± 0.9913,No Rain
CNN-LSTM+Attention,3,Very Heavy,mean ± std,821,70.9175 ± 2.0268,68.3065 ± 2.3304,-68.3054 ± 2.3320,Very Heavy
CNN-LSTM+Attention,4,Extremely Heavy,mean ± std,171,163.6461 ± 1.9294,153.3032 ± 2.3222,-153.3032 ± 2.3222,Extremely Heavy
CNN-LSTM+Attention,4,Heavy,mean ± std,2274,35.8028 ± 0.9652,34.0017 ± 1.2350,-33.9415 ± 1.2942,Heavy
CNN-LSTM+Attention,4,Light,mean ± std,36003,5.7863 ± 0.5207,4.1477 ± 0.3157,3.3139 ± 0.2815,Light
CNN-LSTM+Attention,4,Moderate,mean ± std,16877,11.4551 ± 0.2948,9.0656 ± 0.3097,-7.1452 ± 0.7262,Moderate
CNN-LSTM+Attention,4,No Rain,mean ± std,83742,2.7737 ± 0.1388,1.5538 ± 0.0480,1.3495 ± 0.2296,No Rain
CNN-LSTM+Attention,4,Very Heavy,mean ± std,828,71.4337 ± 1.5026,69.0740 ± 1.7287,-69.0740 ± 1.7287,Very Heavy
CNN-LSTM-Temporal,1,Extremely Heavy,mean ± std,168,140.7243 ± 2.6521,126.5578 ± 3.3837,-126.4797 ± 3.4526,Extremely Heavy
CNN-LSTM-Temporal,1,Heavy,mean ± std,2264,30.8846 ± 0.2409,27.7087 ± 0.4435,-25.5486 ± 1.2231,Heavy
CNN-LSTM-Temporal,1,Light,mean ± std,36547,5.8499 ± 0.2530,3.5477 ± 0.0840,2.4173 ± 0.1578,Light
CNN-LSTM-Temporal,1,Moderate,mean ± std,17005,11.6441 ± 0.3387,9.1151 ± 0.2372,-5.2190 ± 0.3625,Moderate
CNN-LSTM-Temporal,1,No Rain,mean ± std,84444,2.4012 ± 0.0371,1.1484 ± 0.1816,0.9172 ± 0.3620,No Rain
CNN-LSTM-Temporal,1,Very Heavy,mean ± std,821,60.6502 ± 1.2052,55.7288 ± 1.6996,-54.7907 ± 1.9802,Very Heavy
CNN-LSTM-Temporal,2,Extremely Heavy,mean ± std,170,157.7195 ± 1.2525,146.7930 ± 1.5966,-146.7930 ± 1.5966,Extremely Heavy
CNN-LSTM-Temporal,2,Heavy,mean ± std,2263,34.8609 ± 0.1644,32.6767 ± 0.2250,-32.3175 ± 0.3623,Heavy
CNN-LSTM-Temporal,2,Light,mean ± std,36366,5.5214 ± 0.0299,3.7704 ± 0.0225,3.0313 ± 0.1013,Light
CNN-LSTM-Temporal,2,Moderate,mean ± std,16953,11.3591 ± 0.0414,9.0037 ± 0.0356,-7.0041 ± 0.0957,Moderate
CNN-LSTM-Temporal,2,No Rain,mean ± std,84068,2.6871 ± 0.0691,1.6192 ± 0.1404,1.5948 ± 0.1559,No Rain
CNN-LSTM-Temporal,2,Very Heavy,mean ± std,819,69.3127 ± 0.1457,66.2738 ± 0.2315,-66.2189 ± 0.3242,Very Heavy
CNN-LSTM-Temporal,3,Extremely Heavy,mean ± std,170,163.2223 ± 2.3108,153.0620 ± 2.8107,-153.0620 ± 2.8107,Extremely Heavy
CNN-LSTM-Temporal,3,Heavy,mean ± std,2271,36.2395 ± 0.5884,34.4640 ± 0.9013,-34.2300 ± 1.2366,Heavy
CNN-LSTM-Temporal,3,Light,mean ± std,36190,5.1875 ± 0.1762,3.6530 ± 0.0683,2.8195 ± 0.1407,Light
CNN-LSTM-Temporal,3,Moderate,mean ± std,16909,11.5604 ± 0.2430,9.1838 ± 0.2089,-7.7355 ± 0.1757,Moderate
CNN-LSTM-Temporal,3,No Rain,mean ± std,83918,2.5653 ± 0.0512,1.4831 ± 0.1709,1.3949 ± 0.2300,No Rain
CNN-LSTM-Temporal,3,Very Heavy,mean ± std,821,71.6070 ± 1.2243,69.0700 ± 1.7437,-69.0318 ± 1.8080,Very Heavy
CNN-LSTM-Temporal,4,Extremely Heavy,mean ± std,171,166.7637 ± 0.2585,157.1180 ± 0.2622,-157.1180 ± 0.2622,Extremely Heavy
CNN-LSTM-Temporal,4,Heavy,mean ± std,2274,37.3874 ± 0.4181,35.9947 ± 0.4501,-35.9878 ± 0.4551,Heavy
CNN-LSTM-Temporal,4,Light,mean ± std,36003,4.9455 ± 0.2670,3.6341 ± 0.2378,2.8734 ± 0.2993,Light
CNN-LSTM-Temporal,4,Moderate,mean ± std,16877,11.5613 ± 0.2444,9.2140 ± 0.2655,-8.1554 ± 0.3843,Moderate
CNN-LSTM-Temporal,4,No Rain,mean ± std,83742,2.6561 ± 0.1476,1.6754 ± 0.1580,1.6239 ± 0.1692,No Rain
CNN-LSTM-Temporal,4,Very Heavy,mean ± std,828,73.6494 ± 0.4359,71.6211 ± 0.4630,-71.6211 ± 0.4630,Very Heavy
LSTM,1,Extremely Heavy,mean ± std,168,139.3869 ± 1.5004,124.0792 ± 2.3387,-123.9420 ± 2.5118,Extremely Heavy
LSTM,1,Heavy,mean ± std,2264,30.4596 ± 0.2485,27.4246 ± 0.1817,-24.9426 ± 0.5043,Heavy
LSTM,1,Light,mean ± std,36547,6.1101 ± 0.0994,3.9726 ± 0.1490,3.1766 ± 0.2489,Light
LSTM,1,Moderate,mean ± std,17005,11.2994 ± 0.3434,8.6279 ± 0.2384,-4.6052 ± 0.0916,Moderate
LSTM,1,No Rain,mean ± std,84444,2.6352 ± 0.1339,1.4157 ± 0.2334,1.2423 ± 0.3364,No Rain
LSTM,1,Very Heavy,mean ± std,821,59.6142 ± 0.3146,54.5143 ± 0.7168,-53.4753 ± 1.1650,Very Heavy
LSTM,2,Extremely Heavy,mean ± std,170,156.0873 ± 1.1720,144.8014 ± 1.3463,-144.8014 ± 1.3463,Extremely Heavy
LSTM,2,Heavy,mean ± std,2263,34.1443 ± 0.6548,31.8722 ± 0.8093,-31.3994 ± 0.9200,Heavy
LSTM,2,Light,mean ± std,36366,5.9243 ± 0.4909,4.1400 ± 0.4128,3.3366 ± 0.5962,Light
LSTM,2,Moderate,mean ± std,16953,11.1348 ± 0.1977,8.7560 ± 0.2248,-6.4835 ± 0.6776,Moderate
LSTM,2,No Rain,mean ± std,84068,2.8866 ± 0.3419,1.7296 ± 0.3409,1.4521 ± 0.6445,No Rain
LSTM,2,Very Heavy,mean ± std,819,68.4104 ± 1.0560,65.2591 ± 1.2289,-65.1573 ± 1.1982,Very Heavy
LSTM,3,Extremely Heavy,mean ± std,170,162.2495 ± 0.6296,151.8977 ± 0.7783,-151.8977 ± 0.7783,Extremely Heavy
LSTM,3,Heavy,mean ± std,2271,35.8960 ± 0.2447,34.0868 ± 0.3076,-33.9155 ± 0.3628,Heavy
LSTM,3,Light,mean ± std,36190,5.3436 ± 0.1716,3.8436 ± 0.1662,3.1800 ± 0.2357,Light
LSTM,3,Moderate,mean ± std,16909,11.3499 ± 0.1323,8.9853 ± 0.1643,-7.4890 ± 0.2553,Moderate
LSTM,3,No Rain,mean ± std,83918,2.7946 ± 0.1395,1.8599 ± 0.2078,1.7988 ± 0.2281,No Rain
LSTM,3,Very Heavy,mean ± std,821,71.0990 ± 0.2668,68.4925 ± 0.3763,-68.4925 ± 0.3763,Very Heavy
LSTM,4,Extremely Heavy,mean ± std,171,162.6261 ± 1.3815,152.3473 ± 1.7312,-152.3473 ± 1.7312,Extremely Heavy
LSTM,4,Heavy,mean ± std,2274,35.5558 ± 0.7617,33.7179 ± 0.9293,-33.5381 ± 1.1187,Heavy
LSTM,4,Light,mean ± std,36003,5.7709 ± 0.5627,4.1163 ± 0.4164,3.3227 ± 0.3734,Light
LSTM,4,Moderate,mean ± std,16877,11.3297 ± 0.1487,8.9090 ± 0.2139,-7.0640 ± 0.7166,Moderate
LSTM,4,No Rain,mean ± std,83742,2.8753 ± 0.2009,1.6740 ± 0.1003,1.5462 ± 0.1659,No Rain
LSTM,4,Very Heavy,mean ± std,828,71.1542 ± 1.1689,68.6612 ± 1.4112,-68.6565 ± 1.4192,Very Heavy
