# Phase 6 — IMD-tier extreme rainfall evaluation (primary tier scheme).
# Boundaries: IMD daily scale (see src/imd_tiers.py / dashboard/lib/imd_rainfall.py).
# Merge rule: tiers with < 100 test samples merged per horizon (see merge log below).
# Mean_Error_Bias = mean(predicted - actual) mm/day (continuous; NOT contingency frequency bias).
# GNN-LSTM excluded (graph inference path not shared with flat eval scripts).
# Secondary cross-check: extreme_rainfall_evaluation.csv (95th-percentile split; different framing).
# h=1 merges: none (all raw IMD tiers n >= 100)
# h=2 merges: none (all raw IMD tiers n >= 100)
# h=3 merges: none (all raw IMD tiers n >= 100)
# h=4 merges: none (all raw IMD tiers n >= 100)
Model,Horizon,Tier,Seed,N_samples,RMSE,MAE,Mean_Error_Bias,Source_Tiers
CNN-LSTM+Attention,1,Heavy,123,2264,30.17648,27.003213,-25.944814,Heavy
CNN-LSTM+Attention,1,Very Heavy,123,821,60.764979,56.620089,-56.32846,Very Heavy
CNN-LSTM+Attention,1,Extremely Heavy,123,168,142.806553,130.473047,-130.473047,Extremely Heavy
Persistence Baseline,2,No Rain,n/a,84068,5.446239,0.908275,0.908275,No Rain
Persistence Baseline,2,Light,n/a,36366,12.11508,5.20217,3.234947,Light
Persistence Baseline,2,Moderate,n/a,16953,17.917083,12.744264,-4.477219,Moderate
Persistence Baseline,2,Heavy,n/a,2263,38.484195,33.165311,-25.288864,Heavy
Persistence Baseline,2,Very Heavy,n/a,819,68.657921,61.829304,-54.810745,Very Heavy
Persistence Baseline,2,Extremely Heavy,n/a,170,142.437344,126.355293,-118.021176,Extremely Heavy
Climatology Baseline,2,No Rain,n/a,84068,4.166217,2.571216,2.571216,No Rain
Climatology Baseline,2,Light,n/a,36366,6.415141,4.669246,4.021971,Light
Climatology Baseline,2,Moderate,n/a,16953,11.095467,8.720996,-7.067408,Moderate
Climatology Baseline,2,Heavy,n/a,2263,35.461399,34.035757,-33.953661,Heavy
Climatology Baseline,2,Very Heavy,n/a,819,70.899982,68.71523,-68.71523,Very Heavy
Climatology Baseline,2,Extremely Heavy,n/a,170,161.475476,151.187262,-151.187262,Extremely Heavy
LSTM,2,No Rain,13,84068,2.716007,1.477448,0.769476,No Rain
LSTM,2,Light,13,36366,5.753581,4.079972,2.971251,Light
LSTM,2,Moderate,13,16953,11.13411,8.736635,-6.835692,Moderate
LSTM,2,Heavy,13,2263,34.555128,32.412727,-32.007821,Heavy
LSTM,2,Very Heavy,13,819,69.059517,66.010113,-65.953637,Very Heavy
LSTM,2,Extremely Heavy,13,170,156.938711,145.809928,-145.809928,Extremely Heavy
LSTM,2,No Rain,42,84068,3.280244,2.117406,2.050213,No Rain
LSTM,2,Light,42,36366,6.477779,4.579537,4.02458,Light
LSTM,2,Moderate,42,16953,10.937362,8.54158,-5.702265,Moderate
LSTM,2,Heavy,42,2263,33.389139,30.941811,-30.340958,Heavy
LSTM,2,Very Heavy,42,819,67.191888,63.840912,-63.779307,Very Heavy
LSTM,2,Extremely Heavy,42,170,154.750552,143.272643,-143.272643,Extremely Heavy
LSTM,2,No Rain,123,84068,2.663662,1.593962,1.536677,No Rain
LSTM,2,Light,123,36366,5.541612,3.760518,3.013878,Light
LSTM,2,Moderate,123,16953,11.332832,8.989928,-6.912466,Moderate
LSTM,2,Heavy,123,2263,34.488605,32.262115,-31.84928,Heavy
LSTM,2,Very Heavy,123,819,68.979734,65.926134,-65.738877,Very Heavy
LSTM,2,Extremely Heavy,123,170,156.572559,145.32168,-145.32168,Extremely Heavy
CNN-LSTM-Temporal,2,No Rain,13,84068,2.607417,1.458635,1.419155,No Rain
CNN-LSTM-Temporal,2,Light,13,36366,5.549653,3.752785,2.914595,Light
CNN-LSTM-Temporal,2,Moderate,13,16953,11.404096,9.040739,-6.894336,Moderate
CNN-LSTM-Temporal,2,Heavy,13,2263,34.673213,32.417701,-31.899153,Heavy
CNN-LSTM-Temporal,2,Very Heavy,13,819,69.144404,66.015333,-65.850801,Very Heavy
CNN-LSTM-Temporal,2,Extremely Heavy,13,170,156.293499,144.97674,-144.97674,Extremely Heavy
CNN-LSTM-Temporal,2,No Rain,42,84068,2.731649,1.68014,1.648295,No Rain
CNN-LSTM-Temporal,2,Light,42,36366,5.490113,3.795692,3.082666,Light
CNN-LSTM-Temporal,2,Moderate,42,16953,11.322614,8.969715,-7.06995,Moderate
CNN-LSTM-Temporal,2,Heavy,42,2263,34.930073,32.789293,-32.531196,Heavy
CNN-LSTM-Temporal,2,Very Heavy,42,819,69.398439,66.461967,-66.461967,Very Heavy
CNN-LSTM-Temporal,2,Extremely Heavy,42,170,158.641608,147.974957,-147.974957,Extremely Heavy
CNN-LSTM-Temporal,2,No Rain,123,84068,2.722153,1.718714,1.716977,No Rain
CNN-LSTM-Temporal,2,Light,123,36366,5.524437,3.76277,3.096525,Light
CNN-LSTM-Temporal,2,Moderate,123,16953,11.350688,9.00052,-7.04791,Moderate
CNN-LSTM-Temporal,2,Heavy,123,2263,34.979474,32.823244,-32.52223,Heavy
CNN-LSTM-Temporal,2,Very Heavy,123,819,69.395226,66.344028,-66.344028,Very Heavy
CNN-LSTM-Temporal,2,Extremely Heavy,123,170,158.223446,147.427299,-147.427299,Extremely Heavy
CNN-LSTM+Attention,2,No Rain,13,84068,2.701444,1.497138,0.38679,No Rain
CNN-LSTM+Attention,2,Light,13,36366,5.936396,4.128837,2.801223,Light
CNN-LSTM+Attention,2,Moderate,13,16953,11.294914,8.96481,-6.615601,Moderate
CNN-LSTM+Attention,2,Heavy,13,2263,34.239915,31.951579,-31.778128,Heavy
CNN-LSTM+Attention,2,Very Heavy,13,819,68.873753,65.95671,-65.95671,Very Heavy
CNN-LSTM+Attention,2,Extremely Heavy,13,170,158.589047,148.020754,-148.020754,Extremely Heavy
CNN-LSTM+Attention,2,No Rain,42,84068,2.77123,1.665463,1.660948,No Rain
CNN-LSTM+Attention,2,Light,42,36366,5.79978,3.851751,3.121772,Light
CNN-LSTM+Attention,2,Moderate,42,16953,11.344979,9.011013,-6.651493,Moderate
CNN-LSTM+Attention,2,Heavy,42,2263,34.29764,31.962475,-31.433452,Heavy
CNN-LSTM+Attention,2,Very Heavy,42,819,68.602145,65.490175,-65.352182,Very Heavy
CNN-LSTM+Attention,2,Extremely Heavy,42,170,156.869715,145.922855,-145.922855,Extremely Heavy
CNN-LSTM+Attention,2,No Rain,123,84068,2.911507,1.854513,1.840384,No Rain
CNN-LSTM+Attention,2,Light,123,36366,5.954371,4.045368,3.270506,Light
CNN-LSTM+Attention,2,Moderate,123,16953,11.198281,8.858304,-6.315874,Moderate
CNN-LSTM+Attention,2,Heavy,123,2263,33.790741,31.382711,-30.962616,Heavy
CNN-LSTM+Attention,2,Very Heavy,123,819,68.176712,65.030906,-65.030906,Very Heavy
CNN-LSTM+Attention,2,Extremely Heavy,123,170,157.224854,146.28362,-146.28362,Extremely Heavy
Persistence Baseline,3,No Rain,n/a,83918,5.766595,0.997128,0.997128,No Rain
Persistence Baseline,3,Light,n/a,36190,12.928201,5.538157,3.499842,Light
Persistence Baseline,3,Moderate,n/a,16909,18.034826,13.142936,-5.086729,Moderate
Persistence Baseline,3,Heavy,n/a,2271,40.111648,34.559885,-27.262131,Heavy
Persistence Baseline,3,Very Heavy,n/a,821,70.500549,64.658465,-57.994154,Very Heavy
Persistence Baseline,3,Extremely Heavy,n/a,170,153.812077,138.197058,-135.417058,Extremely Heavy
Climatology Baseline,3,No Rain,n/a,83918,4.167818,2.571788,2.571788,No Rain
Climatology Baseline,3,Light,n/a,36190,6.426864,4.681664,4.035178,Light
Climatology Baseline,3,Moderate,n/a,16909,11.101227,8.725487,-7.063002,Moderate
Climatology Baseline,3,Heavy,n/a,2271,35.503445,34.069619,-33.977178,Heavy
Climatology Baseline,3,Very Heavy,n/a,821,70.870806,68.703614,-68.703614,Very Heavy
Climatology Baseline,3,Extremely Heavy,n/a,170,161.475476,151.187262,-151.187262,Extremely Heavy
LSTM,3,No Rain,13,83918,2.68488,1.646779,1.554963,No Rain
LSTM,3,Light,13,36190,5.301243,3.778379,3.031574,Light
LSTM,3,Moderate,13,16909,11.348015,8.999996,-7.560845,Moderate
LSTM,3,Heavy,13,2271,35.87902,34.068774,-33.953359,Heavy
LSTM,3,Very Heavy,13,821,71.199834,68.629476,-68.629476,Very Heavy
LSTM,3,Extremely Heavy,13,170,162.522477,152.266066,-152.266066,Extremely Heavy
LSTM,3,No Rain,42,83918,2.951579,2.061997,2.007088,No Rain
LSTM,3,Light,42,36190,5.532392,4.03256,3.451848,Light
LSTM,3,Moderate,42,16909,11.218536,8.814152,-7.205471,Moderate
LSTM,3,Heavy,42,2271,35.660207,33.788592,-33.5353,Heavy
LSTM,3,Very Heavy,42,821,70.796463,68.066902,-68.066902,Very Heavy
LSTM,3,Extremely Heavy,42,170,161.529394,151.003598,-151.003598,Extremely Heavy
LSTM,3,No Rain,123,83918,2.74734,1.871053,1.834337,No Rain
LSTM,3,Light,123,36190,5.197079,3.719848,3.056689,Light
LSTM,3,Moderate,123,16909,11.483182,9.141791,-7.700577,Moderate
LSTM,3,Heavy,123,2271,36.148767,34.403094,-34.257849,Heavy
LSTM,3,Very Heavy,123,821,71.300635,68.781043,-68.781043,Very Heavy
LSTM,3,Extremely Heavy,123,170,162.69652,152.423424,-152.423424,Extremely Heavy
CNN-LSTM-Temporal,3,No Rain,13,83918,2.603977,1.509619,1.374759,No Rain
CNN-LSTM-Temporal,3,Light,13,36190,5.095012,3.728095,2.938578,Light
CNN-LSTM-Temporal,3,Moderate,13,16909,11.412817,9.047489,-7.866237,Moderate
CNN-LSTM-Temporal,3,Heavy,13,2271,36.828817,35.301708,-35.267392,Heavy
CNN-LSTM-Temporal,3,Very Heavy,13,821,72.640588,70.46464,-70.46464,Very Heavy
CNN-LSTM-Temporal,3,Extremely Heavy,13,170,164.910434,155.008194,-155.008194,Extremely Heavy
CNN-LSTM-Temporal,3,No Rain,42,83918,2.584699,1.639175,1.634277,No Rain
CNN-LSTM-Temporal,3,Light,42,36190,5.390664,3.594483,2.855752,Light
CNN-LSTM-Temporal,3,Moderate,42,16909,11.840798,9.424276,-7.5358,Moderate
CNN-LSTM-Temporal,3,Heavy,42,2271,35.65202,33.510387,-32.861582,Heavy
CNN-LSTM-Temporal,3,Very Heavy,42,821,70.25497,67.114966,-67.000449,Very Heavy
CNN-LSTM-Temporal,3,Extremely Heavy,42,170,160.588787,149.839537,-149.839537,Extremely Heavy
CNN-LSTM-Temporal,3,No Rain,123,83918,2.507209,1.300464,1.175602,No Rain
CNN-LSTM-Temporal,3,Light,123,36190,5.076762,3.636489,2.66425,Light
CNN-LSTM-Temporal,3,Moderate,123,16909,11.427555,9.0797,-7.804336,Moderate
CNN-LSTM-Temporal,3,Heavy,123,2271,36.237706,34.580015,-34.560994,Heavy
CNN-LSTM-Temporal,3,Very Heavy,123,821,71.925393,69.630303,-69.630303,Very Heavy
CNN-LSTM-Temporal,3,Extremely Heavy,123,170,164.167795,154.338146,-154.338146,Extremely Heavy
CNN-LSTM+Attention,3,No Rain,13,83918,2.371178,1.471262,1.430834,No Rain
CNN-LSTM+Attention,3,Light,13,36190,4.620151,3.238982,2.355219,Light
CNN-LSTM+Attention,3,Moderate,13,16909,11.821344,9.558752,-8.478597,Moderate
CNN-LSTM+Attention,3,Heavy,13,2271,36.900023,35.30162,-35.286658,Heavy
CNN-LSTM+Attention,3,Very Heavy,13,821,72.761058,70.581621,-70.581621,Very Heavy
CNN-LSTM+Attention,3,Extremely Heavy,13,170,164.97787,155.051774,-155.051774,Extremely Heavy
CNN-LSTM+Attention,3,No Rain,42,83918,3.246667,2.107784,2.098685,No Rain
CNN-LSTM+Attention,3,Light,42,36190,6.63572,4.761828,4.23375,Light
CNN-LSTM+Attention,3,Moderate,42,16909,10.887652,8.493955,-5.631981,Moderate
CNN-LSTM+Attention,3,Heavy,42,2271,33.846144,31.655961,-31.396687,Heavy
CNN-LSTM+Attention,3,Very Heavy,42,821,68.747228,65.924541,-65.921427,Very Heavy
CNN-LSTM+Attention,3,Extremely Heavy,42,170,159.496607,148.524803,-148.524803,Extremely Heavy
CNN-LSTM+Attention,3,No Rain,123,83918,2.225918,1.210139,0.1482,No Rain
CNN-LSTM+Attention,3,Light,123,36190,5.176947,3.446841,1.749222,Light
CNN-LSTM+Attention,3,Moderate,123,16909,12.477273,10.146065,-8.357037,Moderate
CNN-LSTM+Attention,3,Heavy,123,2271,36.484544,34.367838,-34.077383,Heavy
CNN-LSTM+Attention,3,Very Heavy,123,821,71.244184,68.413281,-68.413281,Very Heavy
CNN-LSTM+Attention,3,Extremely Heavy,123,170,162.638941,151.966664,-151.966664,Extremely Heavy
Persistence Baseline,4,No Rain,n/a,83742,5.795543,1.028288,1.028288,No Rain
Persistence Baseline,4,Light,n/a,36003,13.406574,5.687007,3.598347,Light
Persistence Baseline,4,Moderate,n/a,16877,18.750974,13.45783,-5.33468,Moderate
Persistence Baseline,4,Heavy,n/a,2274,38.982587,35.139578,-28.368865,Heavy
Persistence Baseline,4,Very Heavy,n/a,828,70.747467,65.696739,-60.825242,Very Heavy
Persistence Baseline,4,Extremely Heavy,n/a,171,157.087304,143.347952,-141.552631,Extremely Heavy
Climatology Baseline,4,No Rain,n/a,83742,4.172663,2.574877,2.574877,No Rain
Climatology Baseline,4,Light,n/a,36003,6.441182,4.696041,4.050409,Light
Climatology Baseline,4,Moderate,n/a,16877,11.107797,8.727085,-7.05548,Moderate
Climatology Baseline,4,Heavy,n/a,2274,35.517797,34.085889,-33.978466,Heavy
Climatology Baseline,4,Very Heavy,n/a,828,70.979953,68.804594,-68.804594,Very Heavy
Climatology Baseline,4,Extremely Heavy,n/a,171,161.695118,151.44628,-151.44628,Extremely Heavy
LSTM,4,No Rain,13,83742,3.077323,1.726566,1.389501,No Rain
LSTM,4,Light,13,36003,6.414656,4.594445,3.746257,Light
LSTM,4,Moderate,13,16877,11.1592,8.661932,-6.243432,Moderate
LSTM,4,Heavy,13,2274,34.743557,32.737449,-32.31572,Heavy
LSTM,4,Very Heavy,13,828,69.861172,67.069273,-67.055175,Very Heavy
LSTM,4,Extremely Heavy,13,171,161.0911,150.449639,-150.449639,Extremely Heavy
LSTM,4,No Rain,42,83742,2.675618,1.558296,1.52918,No Rain
LSTM,4,Light,42,36003,5.372555,3.833494,3.040751,Light
LSTM,4,Moderate,42,16877,11.43201,9.034378,-7.566143,Moderate
LSTM,4,Heavy,42,2274,36.254032,34.585821,-34.511125,Heavy
LSTM,4,Very Heavy,42,828,72.136054,69.758764,-69.758764,Very Heavy
LSTM,4,Extremely Heavy,42,171,163.017335,152.751805,-152.751805,Extremely Heavy
LSTM,4,No Rain,123,83742,2.872942,1.737052,1.719923,No Rain
LSTM,4,Light,123,36003,5.525468,3.921048,3.181169,Light
LSTM,4,Moderate,123,16877,11.398021,9.030559,-7.382512,Moderate
