model,horizon,seed,threshold_mm,POD,FAR,CSI,Bias,HSS,Accuracy,hits,misses,false_alarms,correct_negatives,n,n_obs_event,n_pred_event
persistence,1,n/a,0.1,0.7867262711416956,0.2123171806167401,0.6490823023755591,0.9987856174871081,0.6441679490959442,0.8289219399276527,44701,12118,12049,72395,141263,56819,56750
persistence,1,n/a,1.0,0.7368605302464526,0.2624681725805321,0.5837770874935286,0.9990898058252428,0.6228509879244011,0.8406447548190255,31573,11275,11236,87179,141263,42848,42809
persistence,1,n/a,5.0,0.6208765680656652,0.37823271683920745,0.450664643228508,0.9985674461824376,0.5366685308532181,0.8616268945159029,16036,9792,9755,105680,141263,25828,25791
persistence,1,n/a,10.0,0.5158478605388273,0.4837430610626487,0.34775641025641024,0.9992076069730587,0.45249092090626847,0.8876351203075116,8463,7943,7930,116927,141263,16406,16393
persistence,1,n/a,35.6,0.34826633936790424,0.6506617420744845,0.21124139214591475,0.9969315741024855,0.33344744110271035,0.969999221310605,1135,2124,2114,135890,141263,3259,3249
persistence,1,n/a,64.4,0.23115577889447236,0.7676767676767676,0.13105413105413105,0.9949748743718593,0.22630214441183408,0.9892045333880776,230,765,760,139508,141263,995,990
persistence,1,n/a,124.4,0.22023809523809523,0.7784431137724551,0.12416107382550336,0.9940476190476191,0.21997062516754193,0.9981523824355989,37,131,130,140965,141263,168,167
lstm,2,13,0.1,0.8891048864540072,0.42671893160737484,0.535024938053662,1.5509057170628258,0.40700538348908066,0.6891427840145606,50310,6275,37448,46620,140653,56585,87758
lstm,2,13,1.0,0.8795784543325527,0.4555943701169752,0.5066436443593099,1.6156674473067916,0.4760396797443057,0.7399771067805165,37558,5142,31431,66522,140653,42700,68989
lstm,2,13,5.0,0.7626072440700338,0.4808530880837231,0.44692178186285664,1.4689623044372841,0.5112431519804942,0.8271633025957498,19644,6115,18195,96699,140653,25759,37839
lstm,2,13,10.0,0.44588321524554114,0.5233742491512144,0.29932753813350826,0.935499633520645,0.3923712985372517,0.8785095234371112,7300,9072,8016,116265,140653,16372,15316
lstm,2,13,35.6,0.08717004297114794,0.4239350912778905,0.08191520046149409,0.15131982811540823,0.14622783571091388,0.9773698392497849,284,2974,209,137186,140653,3258,493
lstm,2,13,64.4,0.024120603015075376,0.3142857142857143,0.02385685884691849,0.035175879396984924,0.04614335869147754,0.9930182790271093,24,971,11,139647,140653,995,35
lstm,2,13,124.4,0.0,,0.0,0.0,0.0,0.9987913517664039,0,170,0,140483,140653,170,0
lstm,2,42,0.1,0.986710258902536,0.5772149023171286,0.4203912297081589,2.3338340549615624,0.06566369992591253,0.45270275074118577,55833,752,76227,7841,140653,56585,132060
lstm,2,42,1.0,0.9671428571428572,0.6184118125369604,0.3767046439289591,2.534519906323185,0.198135053508848,0.5141945070492631,41297,1403,66927,31026,140653,42700,108224
