# Climatology = per-station per-season mean rainfall from train period only (date_of_record <= 2022-12-31).
# Season map matches eval_seasonal_performance / seasonal_performance.csv.
# Statistic: arithmetic mean (MSE-optimal constant predictor per cell).
horizon,n_test,MSE,RMSE,MAE,R2,test_rows_direct,test_rows_station_fallback,test_rows_global_fallback
1,141263,116.46083774749093,10.791702263660303,4.916930804007227,0.17405398645320758,140502,91,670
2,140653,116.98138299463173,10.815793220778202,4.92877367777316,0.17410657557471798,139894,91,668
3,140293,117.40245952534717,10.835241553622474,4.937566466175599,0.17410250483910317,139536,91,666
4,139908,118.3647783004297,10.879557817320965,4.951657258146178,0.17315539245352107,139155,91,662
