model,horizon,threshold_mm,n_seeds,POD_mean,POD_std,FAR_mean,FAR_std,CSI_mean,CSI_std,Bias_mean,Bias_std,HSS_mean,HSS_std,Accuracy_mean,Accuracy_std
attention,1,0.1,3,0.9779475175557472,0.02385359171067313,0.5581632926472041,0.03878764847268417,0.43686524584216735,0.03325211451656367,2.228010583314267,0.25021761245461427,0.11646666298278045,0.1111388326002435,0.4883279179025411,0.08181123879834723
attention,1,1.0,3,0.9372899551904407,0.03708581176616907,0.5316746205520382,0.07714924751827253,0.4520228407631155,0.06545455640730113,2.0510331092855365,0.45226361297307766,0.3580831021871194,0.14054895434583844,0.6431573259334243,0.11569048832389818
attention,1,5.0,3,0.7378813690568377,0.03280922260190792,0.4108621555026315,0.019698706068179368,0.4864666414784335,0.003219956877949817,1.2546461204893913,0.09767361827886047,0.5663572012140564,0.00457639709819297,0.8575918676511188,0.006028498482330845
attention,1,10.0,3,0.5213133406477305,0.03697421607332902,0.4451496155217875,0.023385123944810318,0.3665750380530252,0.009883120005998263,0.9423788045024178,0.10259804307974622,0.4777306844062658,0.008563376489624498,0.8955046025262572,0.003529752577897406
attention,1,35.6,3,0.20630050117622992,0.020777873398748852,0.41917172923833723,0.020634818739047784,0.17921945691349617,0.014542008781029465,0.3561419658381917,0.04563847303908586,0.2952845876890318,0.02047255166547048,0.9782320919136644,0.00020234039950951265
attention,1,64.4,3,0.0763819095477387,0.013926036643769868,0.43407450555042243,0.08433950386467337,0.07170428878466785,0.011603444208547937,0.1390284757118928,0.04223896341515069,0.1321901882552359,0.019994263116943904,0.9930531467310383,0.00013400320314588298
attention,1,124.4,3,0.027777777777777773,0.009092412093166349,0.3119047619047619,0.07835467939002065,0.027348988308685245,0.008750412033382289,0.041666666666666664,0.017857142857142856,0.05305819081141633,0.016595030243230863,0.9988272465778961,4.087059379992815e-06
attention,2,0.1,3,0.950157580041825,0.06899762652179377,0.5245916703810883,0.11942847855873755,0.45722114135084113,0.090843974737178,2.0968218903714178,0.5864827032216557,0.16548242785978098,0.2628857293295219,0.5186428065285964,0.18056118812362668
attention,2,1.0,3,0.921951600312256,0.045764385994584246,0.5396229457012615,0.10705491389861162,0.4390340483320405,0.0849521485167323,2.0830835284933644,0.5193602340886572,0.33126504703828447,0.17073495296516564,0.6238046824454508,0.13036059307814316
attention,2,5.0,3,0.7244328842993388,0.006226002593434494,0.4672967322869048,0.007919501061704269,0.44291542410751444,0.004939375990762558,1.3601718493212729,0.027604878691558258,0.5106019494414945,0.006834967837538421,0.833104638128349,0.0036808475824239434
attention,2,10.0,3,0.4518894046746478,0.019657511135531477,0.5166450226209381,0.005754415574639036,0.3045505516217249,0.007470981653798032,0.9352349539864809,0.049374672005329405,0.3993414204928,0.00793966396981908,0.8799385722309513,0.0013929923884198204
attention,2,35.6,3,0.096378146101903,0.012595632000419396,0.45549774794073844,0.0071002707278181795,0.0891355837655524,0.010933187261513353,0.17689789236750564,0.021671851736976163,0.15770895036115828,0.017959647049909946,0.9772039463549776,9.467737081301196e-05
attention,2,64.4,3,0.015075376884422112,0.004380802958332336,0.25620915032679736,0.06908345234888266,0.014979186207214402,0.004290570081453664,0.020770519262981575,0.00818545509070058,0.029214524506514534,0.008206169495044144,0.9929922101436395,4.104784606035694e-06
attention,2,124.4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.00196078431372549,0.003396178054056622,-4.712145485739757e-06,8.161675393957587e-06,0.9987889818679067,4.104784606035694e-06
attention,3,0.1,3,0.9380221729490023,0.09581698639866887,0.5057531912708604,0.1408462760568198,0.4671007606640816,0.09585278596454068,2.023745750184774,0.6626217528157015,0.1958230488737721,0.2769177491483044,0.5388104419560017,0.18930763632875014
attention,3,1.0,3,0.9062852311161217,0.07444939041304134,0.5198539035385892,0.12828366658001816,0.44920550506627605,0.09145202932097929,1.9993580107728928,0.6326552427899559,0.3528912175235959,0.18801809654515525,0.6398347268454829,0.14718315050570147
attention,3,5.0,3,0.691779134741291,0.09594679263998679,0.47342285594077377,0.04601532809379312,0.42154112433998864,0.0035885438660774767,1.3316479327914124,0.30893863964048374,0.4863338187053819,0.008568257787956663,0.8262469735957366,0.02145060757933166
attention,3,10.0,3,0.37664852524511305,0.10643630413441957,0.5090405374039557,0.041225010410895754,0.2643457099116124,0.0371059591004765,0.7837094111172261,0.2963604894711521,0.35292126471155605,0.03673126752669056,0.8798918453997467,0.009734167102414443
attention,3,35.6,3,0.05150958792329661,0.031167218894365488,0.49853959630561356,0.0933691858912183,0.04778909634075246,0.028043641336938162,0.11209710322317422,0.0756478514306582,0.08622170561594268,0.04934855025685281,0.9764944318913512,0.0003351142413193432
