horizon,seed,contrast,diff,ci_lo,ci_hi,significant_ci_excludes_0,n_a,n_b
4,42,wet_minus_dry_recent7,0.003598631848886341,0.003546030231831319,0.0036600960455200685,True,42454,97454
4,42,monsoon_minus_non_recent7,0.004919662424691523,0.004855146627318041,0.0049677619688501175,True,38642,101266
4,42,high_minus_low_err_recent7,0.004679374217322035,0.004538219491103813,0.004809662935230486,True,13992,125916
4,42,wet_minus_dry_entropy,-0.0008686317615369532,-0.0008863925929765926,-0.0008497900204041842,True,42454,97454
4,42,monsoon_minus_non_entropy,-0.0011670698478836172,-0.0011851565522198349,-0.0011471819324796128,True,38642,101266
4,42,high_minus_low_err_entropy,-0.0015118492992955979,-0.001551994086906472,-0.0014711800632151717,True,13992,125916
