horizon,seed,stratum,n,fraction,peak_day_position,recent_7_share,oldest_7_share,mean_sample_entropy,entropy_of_mean_profile
4,42,all,139908,1.0,30,0.23349818587303162,0.2463880330324173,3.399228811264038,3.399637222290039
4,42,wet_ge_1mm,42454,0.3034422620579238,30,0.23598909378051758,0.24633583426475525,3.3986241817474365,3.3991177082061768
4,42,dry_lt_1mm,97454,0.6965577379420762,30,0.23238389194011688,0.2464205026626587,3.3994927406311035,3.3996477127075195
4,42,monsoon_JJAS,38642,0.2761957858020985,30,0.23704339563846588,0.24642114341259003,3.3983845710754395,3.3988566398620605
4,42,non_monsoon,101266,0.7238042141979015,30,0.2321164757013321,0.24638478457927704,3.3995513916015625,3.3996853828430176
4,42,high_error_q90,13992,0.10000857706492838,30,0.23769353330135345,0.24657663702964783,3.3978686332702637,3.3987812995910645
4,42,low_error_below_q90,125916,0.8999914229350716,30,0.23300760984420776,0.2463732361793518,3.3993802070617676,3.3995769023895264
